назва;стан;білки_г;жири_г;вуглеводи_г;клітковина_г;цукри_г;натрій_мг;source;спирт_г
Яловичина лопатка;сире;17.16;19.41;0;0;0;68;usda:169493;
Яловичина вирізка;сире;21.72;6.67;0;0;0;44;usda:173988;
Яловичина грудинка;сире;18.42;19.06;0.56;0;0;69;usda:168664;
Яловичина ребра;сире;16.15;28.42;0.78;0;0;53;usda:172169;
Яловичина гомілка (осо-буко);сире;21.75;3.85;0;0;;63;usda:169441;
Яловичина фарш 80/20;сире;17.17;20;0;0;0;66;usda:174036;
Яловичина фарш 90/10;сире;20;10;0;0;0;66;usda:174030;
Яловичина язик;сире;14.9;16.09;3.68;0;;69;usda:170196;
Яловичина печінка;сире;20.36;3.63;3.89;0;0;69;usda:169451;
Яловичина серце;сире;17.72;3.94;0.14;0;0;98;usda:168625;
Телятина вирізка;сире;20.07;10.07;0.07;0;0;98;usda:173823;
Телятина лопатка;сире;19.27;5.28;0;0;0;91;usda:175277;
Свинина шия;сире;17.42;12.36;0;0;0;61;usda:167849;
Свинина вирізка;сире;20.65;3.53;0;0;0;52;usda:168312;
Свинина корейка на кістці;сире;20.28;11.04;0;0;0;56;usda:168242;
Свинина лопатка;сире;17.18;17.99;0;0;0;65;usda:167843;
Свинина ребра;сире;15.47;23.4;0;0;0;81;usda:167853;
Свинина грудинка сира;сире;9.34;53.01;0;0;0;32;usda:167812;
Свинина фарш;сире;16.88;21.19;0;0;;56;usda:167902;
Сало солоне;як продається;5.05;80.5;0;0;0;2684;usda:168287;
Сало сире;сире;2.92;88.69;0;0;0;11;usda:167811;
Свинина рулька;сире;18;18;0;0;0;70;estimate;
Свинина печінка;сире;21.39;3.65;2.47;0;;87;usda:167862;
Свинина ноги (холодець);сире;23.16;12.59;0;0;0;132;usda:167859;
Баранина нога;сире;17.91;17.07;0;0;;56;usda:174311;
Баранина лопатка;сире;16.58;21.45;0;0;0;61;usda:172496;
Баранина ребра;сире;14.52;34.39;0;0;;56;usda:174321;
Баранина фарш;сире;16.56;23.41;0;0;0;59;usda:174370;
Курка філе без шкіри;сире;22.5;2.62;0;0;0;45;usda:171077;
Курка грудка з шкірою на кістці;сире;20.85;9.25;0;0;0;63;usda:171474;
Курка стегно з шкірою;сире;16.52;16.61;0.25;0;0;81;usda:172385;
Курка стегно без шкіри без кістки;сире;18.61;7.92;0;;;62.33;usda:2646171;
Курка гомілка;сире;18.08;9.2;0.11;0;0;106;usda:172373;
Курка крила;сире;17.52;12.85;0;0;0;84;usda:172390;
Курка ціла;сире;18.6;15.06;0;0;0;70;usda:171447;
Курка печінка;сире;16.92;4.83;0.73;0;0;71;usda:171060;
Курка серця;сире;15.55;9.33;0.71;0;;74;usda:171458;
Курка шлуночки;сире;17.66;2.06;0;0;0;69;usda:171456;
Курка шкіра;сире;13.33;32.35;0;0;0;63;usda:171452;
Індичка філе грудки;сире;23.34;2.33;0;0;0;74;usda:174515;
Індичка стегно;сире;19.54;9.16;0;0;0;75;usda:171533;
Індичка гомілка;сире;19.96;6.84;0;0;0;86;usda:171134;
Індичка фарш;сире;19.66;7.66;0;0;0;58;usda:171505;
Качка грудка з шкірою;сире;17.9;29.4;0.1;0;0.1;54.4;ciqual:36206;
Качка ціла;сире;11.49;39.34;0;0;0;63;usda:172408;
Гуска ціла;сире;15.86;33.62;0;0;;73;usda:174470;
Кролик;сире;20.05;5.55;0;0;;41;usda:172521;
Перепілка;сире;19.63;12.05;0;0;;53;usda:172418;
Шинка варена;як продається;16.6;8.8;3.63;1.3;1;814;usda:173864;
Шинка сирокопчена (прошуто/хамон);як продається;27.8;8.32;0.3;0;0;2695;usda:2705879;
Ковбаса варена (докторська);як продається;15.3;19.87;0.73;0;0;907;usda:173856;
Ковбаса напівкопчена;як продається;12.07;26.56;1.98;0;0;848;usda:172954;
Ковбаса сирокопчена (салямі);як продається;21.07;31.65;0.72;0;0.26;1756;usda:174582;
Сервелат;як продається;17.45;30.43;3.33;0;0.85;1300;usda:172940;
Сосиски;як продається;12.81;23.68;0.28;0.1;0;816;usda:172964;
Сардельки;як продається;11.1;27.7;3.2;0;0;930;usda:173867;
Кабаноси;як продається;25;41;5.3;;1.9;3148;estimate;
Бекон;як продається;13.66;37.13;0;0;0.35;751;usda:168277;
Буженина;як продається;30.5;4.31;0.65;0;0;32.3;ciqual:28301;
Паштет печінковий;як продається;14.2;28;1.5;0;;697;usda:172930;
Ковбаса кровʼяна;як продається;14.6;34.5;1.29;0;1.29;680;usda:171618;
Ковбаса ліверна;як продається;14.1;28.5;2.2;0;;860;usda:173870;
Домашня ковбаса (свиняча);сире;13.9;24.26;2.97;0;1.19;563;usda:171631;
Балик;як продається;18;7;1.5;;1.5;1967;estimate;
Мʼясо в желе (холодець);як продається;13.83;10.9;0;0;0;941;usda:171630;
Пепероні;як продається;19.25;46.28;1.18;0;0;1582;usda:2706185;
Мортадела;як продається;16.37;25.39;3.05;0;0;1246;usda:174573;
Чорізо;як продається;23.5;36.1;1.24;0.93;1.24;1690;ciqual:30315;
Лосось фермерський;сире;20.42;13.42;0;0;0;59;usda:175167;
Лосось дикий;сире;19.84;6.34;0;0;;44;usda:173686;
Форель райдужна;сире;19.94;6.18;0;0;0;51;usda:173717;
Скумбрія;сире;18.6;13.89;0;0;0;90;usda:175119;
Оселедець свіжий;сире;17.96;9.04;0;0;0;90;usda:175116;
Оселедець солоний;як продається;18;9;0;0;0;1700;estimate;
Оселедець копчений;як продається;24.58;12.37;0;0;0;918;usda:173668;
Тунець свіжий;сире;23.33;4.9;0;0;0;39;usda:173706;
Тунець консервований у власному соку;як продається;19.44;0.96;0;0;0;247;usda:173709;
Тунець консервований в олії;як продається;29.13;8.21;0;0;0;416;usda:173708;
Сардина консервована в олії;як продається;24.62;11.45;0;0;0;307;usda:175139;
Шпроти;як продається;17;32;0;;0;680;estimate;
Хек;сире;17.6;1.35;0;0;0;98.6;ciqual:26044;
Минтай;сире;17.17;0.82;0;;;159;usda:173725;
Тріска;сире;17.81;0.67;0;0;0;54;usda:171955;
Пангасіус;готове;17.5;1;0;0;0;233;ciqual:27018;
Тилапія;сире;20.08;1.7;0;0;0;52;usda:175176;
Дорадо;сире;20.9;5.1;0;0;0;51.5;ciqual:26088;
Сібас;сире;18.43;2;0;0;0;68;usda:175142;
Короп;сире;17.83;5.6;0;0;0;49;usda:171952;
Судак;сире;18.3;1.08;1.06;0;0;57;ciqual:27024;
Щука;сире;19.26;0.69;0;0;0;39;usda:173680;
Окунь;сире;19.39;0.92;0;0;0;62;usda:173678;
Камбала;сире;12.41;1.93;0;0;0;296;usda:174196;
Палтус;сире;21.2;1.31;0;0;0;59;ciqual:26009;
